t,x,y,z
0.05,0.902,-0.378,0.216
0.099856,0.892,-0.384,0.26
0.149904,0.896,-0.392,0.248
0.199952,0.892,-0.382,0.248
0.25,0.882,-0.354,0.24
0.299856,0.904,-0.338,0.248
0.349904,0.902,-0.378,0.254
0.399952,0.902,-0.378,0.248
0.45,0.896,-0.376,0.248
0.499856,0.902,-0.386,0.252
0.549904,0.896,-0.376,0.248
0.599952,0.888,-0.376,0.252
0.65,0.886,-0.372,0.262
0.699856,0.896,-0.37,0.26
0.749904,0.88,-0.372,0.262
0.799952,0.898,-0.376,0.252
0.85,0.88,-0.354,0.252
0.900856,0.892,-0.372,0.248
0.950904,0.886,-0.37,0.262
1.000952,0.892,-0.366,0.254
1.051,0.898,-0.384,0.252
1.100856,0.902,-0.376,0.254
1.150904,0.896,-0.378,0.27
1.200952,0.896,-0.36,0.262
1.251,0.866,-0.378,0.262
1.300856,0.88,-0.37,0.252
1.350904,0.898,-0.37,0.252
1.400952,0.896,-0.37,0.252
1.451,0.876,-0.376,0.24
1.500856,0.888,-0.376,0.246
1.550904,0.896,-0.376,0.27
1.600952,0.898,-0.37,0.254
1.651,0.864,-0.378,0.238
1.700856,0.888,-0.37,0.254
1.750904,0.896,-0.37,0.27
1.800952,0.888,-0.378,0.254
1.851,0.902,-0.384,0.226
1.900856,0.896,-0.384,0.248
1.950904,0.896,-0.362,0.248
2.000952,0.898,-0.368,0.238
2.051,0.894,-0.378,0.248
2.101856,0.902,-0.37,0.242
2.151904,0.902,-0.372,0.254
2.201952,0.892,-0.362,0.24
2.252,0.908,-0.378,0.262
2.301856,0.888,-0.368,0.236
2.351904,0.888,-0.368,0.236
2.401952,0.902,-0.378,0.246
2.452,0.864,-0.384,0.24
2.501856,0.896,-0.362,0.236
2.551904,0.894,-0.37,0.246
2.601952,0.896,-0.378,0.248
2.652,0.862,-0.372,0.24
2.701856,0.902,-0.372,0.24
2.751904,0.908,-0.36,0.254
2.801952,0.91,-0.376,0.252
