t,x,y,z,Kitchen_AP,Lounge_AP,Upstairs_AP,Study_AP
0.05,0.902,-0.378,0.216,-87.0,-76.0,-87.0,
0.099856,0.892,-0.384,0.26,-88.0,-75.0,-81.0,
0.149904,0.896,-0.392,0.248,-88.0,-75.0,-81.0,
0.199952,0.892,-0.382,0.248,-88.0,-75.0,-81.0,
0.25,0.882,-0.354,0.24,-88.0,-75.0,-81.0,
0.299856,0.904,-0.338,0.248,-88.0,-76.0,-81.0,
0.349904,0.902,-0.378,0.254,-88.0,-76.0,-81.0,
0.399952,0.902,-0.378,0.248,-88.0,-76.0,-81.0,
0.45,0.896,-0.376,0.248,-88.0,-76.0,-81.0,
0.499856,0.902,-0.386,0.252,-88.0,-76.0,-81.0,
0.549904,0.896,-0.376,0.248,-88.0,-76.0,-81.0,
0.599952,0.888,-0.376,0.252,-88.0,-76.0,-81.0,
0.65,0.886,-0.372,0.262,-88.0,-76.0,-81.0,
0.699856,0.896,-0.37,0.26,-89.0,-76.0,-80.0,
0.749904,0.88,-0.372,0.262,-89.0,-76.0,-80.0,
0.799952,0.898,-0.376,0.252,-89.0,-76.0,-80.0,
0.85,0.88,-0.354,0.252,-89.0,-76.0,-80.0,
0.900856,0.892,-0.372,0.248,-88.0,-76.0,-81.0,
0.950904,0.886,-0.37,0.262,-88.0,-76.0,-81.0,
1.000952,0.892,-0.366,0.254,-88.0,-76.0,-81.0,
1.051,0.898,-0.384,0.252,-88.0,-76.0,-81.0,
1.100856,0.902,-0.376,0.254,-88.0,-76.0,-81.0,
1.150904,0.896,-0.378,0.27,-88.0,-76.0,-81.0,
1.200952,0.896,-0.36,0.262,-88.0,-76.0,-81.0,
1.251,0.866,-0.378,0.262,-88.0,-76.0,-81.0,
1.300856,0.88,-0.37,0.252,-87.0,-76.0,-81.0,
1.350904,0.898,-0.37,0.252,-87.0,-76.0,-81.0,
1.400952,0.896,-0.37,0.252,-87.0,-76.0,-81.0,
1.451,0.876,-0.376,0.24,-87.0,-76.0,-81.0,
1.500856,0.888,-0.376,0.246,-87.0,-75.0,-80.0,
