t,x,y,z
0.022904,-0.888,0.24,0.48
0.072952,-0.864,0.308,0.418
0.123,-0.864,0.306,0.446
0.173856,-0.87,0.306,0.448
0.223904,-0.87,0.314,0.448
0.273952,-0.812,0.336,0.416
0.324,-0.85,0.302,0.446
0.373856,-0.864,0.288,0.456
0.423904,-0.85,0.286,0.44
0.473952,-0.862,0.274,0.446
0.524,-0.88,0.32,0.448
0.573856,-0.88,0.264,0.454
0.623904,-0.85,0.318,0.462
0.673952,-0.856,0.27,0.446
0.724,-0.88,0.282,0.44
0.773856,-0.864,0.282,0.46
0.823904,-0.862,0.314,0.432
0.873952,-0.854,0.328,0.438
0.924,-0.856,0.272,0.476
0.973856,-0.862,0.312,0.444
1.023904,-0.864,0.29,0.454
1.073952,-0.87,0.318,0.414
1.124,-0.876,0.302,0.44
1.174856,-0.864,0.312,0.462
1.224904,-0.878,0.25,0.46
1.274952,-0.88,0.288,0.448
1.325,-0.864,0.298,0.464
1.374856,-0.888,0.216,0.462
1.424904,-0.902,0.242,0.478
1.474952,-0.904,0.206,0.45
1.525,-0.882,0.21,0.464
1.574856,-0.864,0.206,0.466
1.624904,-0.862,0.258,0.454
1.674952,-0.856,0.232,0.45
1.725,-0.87,0.222,0.468
1.774856,-0.85,0.218,0.46
1.824904,-0.87,0.24,0.472
1.874952,-0.88,0.226,0.446
1.925,-0.892,0.19,0.478
1.974856,-0.87,0.226,0.47
2.024904,-0.888,0.21,0.462
2.074952,-0.88,0.154,0.448
2.125,-0.864,0.244,0.454
2.175856,-0.866,0.2,0.42
2.225904,-0.85,0.234,0.424
2.275952,-0.856,0.216,0.438
2.326,-0.846,0.176,0.436
2.375856,-0.836,0.136,0.38
2.425904,-0.96,0.04,0.492
2.475952,-0.982,0.2,0.46
2.526,-0.978,0.218,0.598
2.575856,-0.934,0.064,0.456
2.625904,-0.876,0.176,0.496
2.675952,-0.86,0.138,0.534
2.726,-0.924,0.03,0.518
2.775856,-0.866,0.116,0.448
2.825904,-0.854,0.13,0.446
2.875952,-0.854,0.068,0.508
2.926,-0.84,0.036,0.572
2.975856,-0.836,0.096,0.608
3.025904,-0.802,0.082,0.608
3.075952,-0.814,0.042,0.688
3.126,-0.764,0.122,0.632
3.175856,-0.784,-0.112,0.72
3.225904,-0.716,-0.016,0.674
3.275952,-0.748,-0.24,0.654
3.326,-0.71,-0.21,0.732
3.576856,-0.846,-0.332,0.512
3.626904,-0.822,-0.296,0.498
3.676952,-0.912,-0.184,0.414
3.727,-0.926,-0.142,0.412
3.776856,-0.894,-0.032,0.414
3.826904,-0.912,-0.024,0.408
3.876952,-0.936,-0.134,0.192
3.927,-0.99,-0.022,0.112
3.976856,-0.984,-0.328,0.108
4.026904,-0.992,0.04,0.128
4.076952,-0.94,-0.202,0.23
4.127,-0.974,-0.248,0.294
4.176856,-1.03,-0.286,0.352
4.226904,-0.998,-0.19,0.438
4.276952,-0.946,-0.122,0.462
4.327,-0.936,-0.252,0.398
4.376856,-1.046,-0.296,0.424
4.426904,-1.094,-0.422,0.398
4.476952,-1.084,-0.176,0.312
4.527,-1.0,-0.07,0.336
4.577856,-0.83,0.104,0.476
4.627904,-0.736,-0.022,0.464
4.677952,-0.716,-0.006,0.472
4.728,-0.714,-0.014,0.384
4.777856,-0.592,0.072,0.364
4.827904,-0.418,0.014,0.204
4.877952,-0.63,-0.318,0.208
4.928,-0.912,-0.942,0.364
4.977856,-1.04,-1.204,0.062
5.027904,-0.976,-0.822,0.422
5.077952,-0.92,-0.936,0.608
5.128,-0.792,-0.658,0.75
5.177856,-0.864,-0.296,0.734
5.227904,-0.856,-0.034,0.646
5.277952,-0.998,-0.174,0.434
5.328,-1.022,-0.206,0.204
5.377856,-0.92,-0.198,0.31
5.427904,-1.038,-0.27,-0.202
5.477952,-0.894,-0.03,0.05
5.528,-0.972,-0.126,-0.104
5.578856,-0.926,-0.128,-0.128
5.628904,-0.966,-0.234,-0.032
5.678952,-0.92,-0.31,-0.178
5.729,-0.88,-0.304,0.062
5.778856,-0.718,-0.216,0.072
