t,x,y,z
0.005856,0.846,-0.038,-0.446
0.055904,0.838,-0.038,-0.432
0.105952,0.832,-0.05,-0.446
0.156,0.87,-0.048,-0.44
0.205856,0.874,-0.076,-0.458
0.255904,0.86,-0.052,-0.444
0.305952,0.856,-0.056,-0.432
0.356,0.874,-0.064,-0.446
0.405856,0.86,-0.056,-0.454
0.455904,0.84,-0.078,-0.44
0.505952,0.86,-0.12,-0.48
0.556,0.844,-0.03,-0.51
0.605856,0.846,-0.038,-0.408
0.655904,0.856,-0.076,-0.43
0.705952,0.87,-0.096,-0.402
0.756,0.854,-0.168,-0.334
0.805856,0.782,-0.13,-0.286
0.855904,0.882,-0.224,-0.208
0.905952,0.726,-0.32,-0.112
0.956,0.76,-0.334,-0.056
1.006856,0.716,-0.338,-0.07
1.056904,0.674,-0.304,-0.046
1.106952,0.834,-0.398,0.07
1.157,0.88,-0.672,0.138
1.206856,0.828,-0.782,0.154
1.256904,0.86,-1.02,0.242
1.306952,0.684,-0.962,0.296
1.357,0.608,-0.984,0.402
1.406856,0.504,-0.83,0.442
1.456904,0.432,-0.856,0.508
1.506952,0.408,-0.896,0.55
1.557,0.342,-0.84,0.544
1.606856,0.354,-0.798,0.544
1.656904,0.376,-0.822,0.564
1.706952,0.368,-0.846,0.554
1.757,0.338,-0.908,0.544
1.806856,0.312,-0.798,0.57
1.856904,0.366,-0.78,0.548
1.906952,0.358,-0.816,0.514
1.957,0.336,-0.79,0.536
2.006856,0.33,-0.798,0.558
2.056904,0.398,-0.8,0.522
2.106952,0.368,-0.822,0.498
2.157,0.31,-0.808,0.506
2.207856,0.37,-0.832,0.538
2.257904,0.354,-0.798,0.516
2.307952,0.352,-0.816,0.528
2.358,0.358,-0.814,0.532
2.407856,0.348,-0.792,0.538
2.457904,0.358,-0.804,0.53
2.507952,0.35,-0.818,0.532
2.558,0.358,-0.798,0.532
2.607856,0.332,-0.806,0.542
2.657904,0.364,-0.798,0.544
2.707952,0.322,-0.796,0.546
2.758,0.352,-0.8,0.548
2.807856,0.338,-0.798,0.544
2.857904,0.36,-0.806,0.542
2.907952,0.348,-0.802,0.546
2.958,0.358,-0.8,0.546
3.007856,0.348,-0.796,0.552
3.057904,0.34,-0.812,0.544
3.107952,0.358,-0.798,0.538
3.158,0.326,-0.792,0.56
