t,x,y,z,Kitchen_AP,Lounge_AP,Upstairs_AP,Study_AP
0.005856,0.446,0.846,0.038,-77.0,,-75.0,-78.0
0.055904,0.432,0.838,0.038,-77.0,,-75.0,-78.0
0.105952,0.446,0.832,0.05,-77.0,,-75.0,-78.0
0.156,0.44,0.87,0.048,-77.0,,-75.0,-78.0
0.205856,0.458,0.874,0.076,-77.0,,-78.0,-87.0
0.255904,0.444,0.86,0.052,-77.0,,-78.0,-87.0
0.305952,0.432,0.856,0.056,-77.0,,-78.0,-87.0
0.356,0.446,0.874,0.064,-77.0,,-78.0,-87.0
0.405856,0.454,0.86,0.056,-76.0,,-75.0,-76.0
0.455904,0.44,0.84,0.078,-76.0,,-75.0,-76.0
0.505952,0.48,0.86,0.12,-76.0,,-75.0,-76.0
0.556,0.51,0.844,0.03,-76.0,,-75.0,-76.0
0.605856,0.408,0.846,0.038,-75.0,,-75.0,-75.0
0.655904,0.43,0.856,0.076,-75.0,,-75.0,-75.0
0.705952,0.402,0.87,0.096,-75.0,,-75.0,-75.0
0.756,0.334,0.854,0.168,-75.0,,-75.0,-75.0
0.805856,0.286,0.782,0.13,-82.0,,-75.0,-79.0
0.855904,0.208,0.882,0.224,-82.0,,-75.0,-79.0
0.905952,0.112,0.726,0.32,-82.0,,-75.0,-79.0
0.956,0.056,0.76,0.334,-82.0,,-75.0,-79.0
1.006856,0.07,0.716,0.338,-89.0,,-79.0,-81.0
1.056904,0.046,0.674,0.304,-89.0,,-79.0,-81.0
1.106952,-0.07,0.834,0.398,-89.0,,-79.0,-81.0
1.157,-0.138,0.88,0.672,-89.0,,-79.0,-81.0
1.206856,-0.154,0.828,0.782,-91.0,,-90.0,-77.0
1.256904,-0.242,0.86,1.02,-91.0,,-90.0,-77.0
1.306952,-0.296,0.684,0.962,-91.0,,-90.0,-77.0
1.357,-0.402,0.608,0.984,-91.0,,-90.0,-77.0
1.406856,-0.442,0.504,0.83,-89.0,,-81.0,-77.0
1.456904,-0.508,0.432,0.856,-89.0,,-81.0,-77.0
1.506952,-0.55,0.408,0.896,-89.0,,-81.0,-77.0
1.557,-0.544,0.342,0.84,-89.0,,-81.0,-77.0
1.606856,-0.544,0.354,0.798,-88.0,,-84.0,-77.0
1.656904,-0.564,0.376,0.822,-88.0,,-84.0,-77.0
1.706952,-0.554,0.368,0.846,-88.0,,-84.0,-77.0
1.757,-0.544,0.338,0.908,-88.0,,-84.0,-77.0
1.806856,-0.57,0.312,0.798,-87.0,,-84.0,-78.0
1.856904,-0.548,0.366,0.78,-87.0,,-84.0,-78.0
1.906952,-0.514,0.358,0.816,-87.0,,-84.0,-78.0
1.957,-0.536,0.336,0.79,-87.0,,-84.0,-78.0
2.006856,-0.558,0.33,0.798,-89.0,,-85.0,-77.0
2.056904,-0.522,0.398,0.8,-89.0,,-85.0,-77.0
2.106952,-0.498,0.368,0.822,-89.0,,-85.0,-77.0
2.157,-0.506,0.31,0.808,-89.0,,-85.0,-77.0
2.207856,-0.538,0.37,0.832,-95.0,,-86.0,-78.0
2.257904,-0.516,0.354,0.798,-95.0,,-86.0,-78.0
2.307952,-0.528,0.352,0.816,-95.0,,-86.0,-78.0
2.358,-0.532,0.358,0.814,-95.0,,-86.0,-78.0
2.407856,-0.538,0.348,0.792,-89.0,,-86.0,-78.0
2.457904,-0.53,0.358,0.804,-89.0,,-86.0,-78.0
2.507952,-0.532,0.35,0.818,-89.0,,-86.0,-78.0
2.558,-0.532,0.358,0.798,-89.0,,-86.0,-78.0
2.607856,-0.542,0.332,0.806,-90.0,,-86.0,-78.0
2.657904,-0.544,0.364,0.798,-90.0,,-86.0,-78.0
2.707952,-0.546,0.322,0.796,-90.0,,-86.0,-78.0
2.758,-0.548,0.352,0.8,-90.0,,-86.0,-78.0
2.807856,-0.544,0.338,0.798,-90.0,,-86.0,-78.0
2.857904,-0.542,0.36,0.806,-90.0,,-86.0,-78.0
2.907952,-0.546,0.348,0.802,-90.0,,-86.0,-78.0
2.958,-0.546,0.358,0.8,-90.0,,-86.0,-78.0
3.007856,-0.552,0.348,0.796,-90.0,,-86.0,-78.0
3.057904,-0.544,0.34,0.812,-90.0,,-86.0,-78.0
3.107952,-0.538,0.358,0.798,-90.0,,-86.0,-78.0
3.158,-0.56,0.326,0.792,-90.0,,-86.0,-78.0
3.208856,-0.538,0.344,0.8,-90.0,,,-78.0
3.258904,-0.548,0.35,0.8,-90.0,,,-78.0
3.308952,-0.544,0.35,0.804,-90.0,,,-78.0
3.359,-0.544,0.358,0.806,-90.0,,,-78.0
3.408856,-0.568,0.334,0.8,-90.0,,-87.0,-78.0
3.458904,-0.524,0.366,0.792,-90.0,,-87.0,-78.0
3.508952,-0.526,0.354,0.808,-90.0,,-87.0,-78.0
3.559,-0.552,0.338,0.796,-90.0,,-87.0,-78.0
3.608856,-0.538,0.344,0.792,-90.0,,-86.0,-78.0
3.658904,-0.55,0.338,0.764,-90.0,,-86.0,-78.0
3.708952,-0.56,0.358,0.79,-90.0,,-86.0,-78.0
3.759,-0.538,0.322,0.764,-90.0,,-86.0,-78.0
3.808856,-0.552,0.35,0.798,-89.0,,-88.0,-78.0
3.858904,-0.542,0.352,0.806,-89.0,,-88.0,-78.0
3.908952,-0.548,0.348,0.79,-89.0,,-88.0,-78.0
3.959,-0.544,0.37,0.798,-89.0,,-88.0,-78.0
4.008856,-0.544,0.358,0.796,-90.0,,-86.0,-78.0
4.058904,-0.538,0.354,0.79,-90.0,,-86.0,-78.0
4.108952,-0.542,0.36,0.806,-90.0,,-86.0,-78.0
4.159,-0.552,0.338,0.782,-90.0,,-86.0,-78.0
4.209856,-0.542,0.354,0.796,-90.0,,-88.0,-78.0
4.259904,-0.56,0.348,0.798,-90.0,,-88.0,-78.0
4.309952,-0.554,0.352,0.796,-90.0,,-88.0,-78.0
