t,x,y,z
0.042856,0.898,-0.382,0.082
0.092904,0.902,-0.386,0.078
0.142952,0.908,-0.388,0.088
0.193,0.904,-0.378,0.092
0.242856,0.918,-0.382,0.086
0.292904,0.904,-0.386,0.096
0.342952,0.908,-0.4,0.094
0.393,0.896,-0.386,0.088
0.442856,0.91,-0.392,0.092
0.492904,0.91,-0.372,0.078
0.542952,0.912,-0.398,0.1
0.593,0.908,-0.386,0.098
0.642856,0.912,-0.386,0.098
0.692904,0.904,-0.386,0.088
0.742952,0.902,-0.394,0.098
0.793,0.91,-0.382,0.098
0.842856,0.902,-0.382,0.088
0.892904,0.908,-0.394,0.104
0.942952,0.904,-0.388,0.088
0.993,0.902,-0.384,0.096
1.043856,0.902,-0.378,0.096
1.093904,0.902,-0.386,0.11
1.143952,0.904,-0.388,0.112
1.194,0.904,-0.394,0.096
1.243856,0.902,-0.394,0.102
1.293904,0.904,-0.386,0.094
1.343952,0.91,-0.392,0.096
1.394,0.91,-0.386,0.092
1.443856,0.886,-0.382,0.108
1.493904,0.91,-0.398,0.094
1.543952,0.902,-0.378,0.106
1.594,0.902,-0.386,0.092
1.643856,0.92,-0.398,0.088
1.693904,0.904,-0.386,0.098
1.743952,0.91,-0.392,0.094
1.794,0.91,-0.386,0.096
1.843856,0.898,-0.392,0.118
1.893904,0.908,-0.398,0.092
1.943952,0.902,-0.376,0.102
1.994,0.896,-0.392,0.088
2.044856,0.898,-0.382,0.092
2.094904,0.904,-0.388,0.152
2.144952,0.91,-0.4,0.108
2.195,0.904,-0.386,0.102
2.244856,0.906,-0.392,0.094
2.294904,0.896,-0.388,0.118
2.344952,0.908,-0.386,0.088
2.395,0.88,-0.378,0.1
2.444856,0.91,-0.416,0.11
2.494904,0.896,-0.376,0.096
2.544952,0.908,-0.386,0.094
2.595,0.902,-0.392,0.108
2.644856,0.91,-0.392,0.096
2.694904,0.904,-0.4,0.102
2.744952,0.91,-0.392,0.096
2.795,0.91,-0.386,0.092
2.844856,0.904,-0.388,0.102
2.894904,0.91,-0.384,0.092
2.944952,0.908,-0.386,0.096
2.995,0.904,-0.39,0.092
3.045856,0.914,-0.386,0.096
3.095904,0.882,-0.392,0.088
3.145952,0.918,-0.386,0.096
3.196,0.902,-0.378,0.1
3.245856,0.898,-0.386,0.104
3.295904,0.888,-0.382,0.108
3.345952,0.902,-0.388,0.102
3.396,0.898,-0.384,0.102
3.445856,0.904,-0.378,0.092
3.495904,0.914,-0.386,0.102
3.545952,0.908,-0.404,0.102
3.596,0.908,-0.388,0.096
3.645856,0.898,-0.388,0.1
3.695904,0.908,-0.392,0.104
3.745952,0.896,-0.392,0.102
3.796,0.904,-0.392,0.112
3.845856,0.914,-0.404,0.1
3.895904,0.896,-0.4,0.102
3.945952,0.898,-0.414,0.112
3.996,0.904,-0.408,0.108
4.045856,0.902,-0.4,0.094
4.095904,0.904,-0.416,0.102
4.145952,0.898,-0.388,0.092
4.196,0.898,-0.41,0.108
4.246856,0.888,-0.41,0.086
4.296904,0.894,-0.418,0.094
4.346952,0.892,-0.412,0.078
4.397,0.898,-0.394,0.076
4.446856,0.91,-0.384,0.08
4.496904,0.91,-0.386,0.076
4.546952,0.914,-0.386,0.072
4.597,0.914,-0.382,0.072
4.646856,0.912,-0.376,0.076
4.696904,0.91,-0.372,0.076
4.746952,0.912,-0.378,0.078
4.797,0.91,-0.372,0.086
4.846856,0.92,-0.37,0.076
4.896904,0.9,-0.356,0.086
4.946952,0.908,-0.37,0.096
4.997,0.904,-0.368,0.072
5.046856,0.908,-0.354,0.078
5.096904,0.928,-0.35,0.092
5.146952,0.926,-0.336,0.088
5.197,0.934,-0.338,0.078
5.247856,0.946,-0.354,0.078
5.297904,0.908,-0.35,0.098
5.347952,0.92,-0.348,0.108
5.398,0.944,-0.346,0.08
5.447856,0.928,-0.346,0.098
5.497904,0.91,-0.36,0.104
5.547952,0.91,-0.354,0.102
5.598,0.888,-0.36,0.102
5.647856,0.926,-0.35,0.108
5.697904,0.92,-0.368,0.112
5.747952,0.908,-0.37,0.128
5.798,0.91,-0.37,0.118
5.847856,0.904,-0.354,0.108
5.897904,0.92,-0.37,0.112
5.947952,0.926,-0.36,0.092
5.998,0.928,-0.37,0.112
6.047856,0.92,-0.356,0.104
6.097904,0.92,-0.368,0.112
6.147952,0.912,-0.372,0.102
6.198,0.91,-0.378,0.11
6.248856,0.91,-0.378,0.112
6.298904,0.91,-0.354,0.096
6.348952,0.896,-0.356,0.108
6.399,0.912,-0.362,0.108
6.448856,0.928,-0.366,0.112
6.498904,0.912,-0.36,0.096
6.548952,0.91,-0.36,0.11
6.599,0.91,-0.356,0.114
6.648856,0.912,-0.378,0.108
6.698904,0.926,-0.382,0.112
6.748952,0.924,-0.36,0.112
6.799,0.91,-0.368,0.11
6.848856,0.91,-0.378,0.094
6.898904,0.91,-0.374,0.11
6.948952,0.92,-0.368,0.12
6.999,0.914,-0.372,0.112
7.048856,0.914,-0.36,0.088
7.098904,0.898,-0.366,0.108
7.148952,0.92,-0.37,0.112
7.199,0.926,-0.368,0.124
7.249856,0.91,-0.356,0.104
7.299904,0.916,-0.386,0.11
7.349952,0.91,-0.378,0.12
7.4,0.91,-0.366,0.112
7.449856,0.926,-0.356,0.092
7.499904,0.896,-0.368,0.088
7.549952,0.928,-0.382,0.108
7.6,0.91,-0.352,0.094
7.649856,0.91,-0.37,0.102
7.699904,0.912,-0.376,0.096
7.749952,0.908,-0.354,0.112
7.8,0.908,-0.368,0.104
7.849856,0.92,-0.37,0.086
7.899904,0.908,-0.366,0.1
7.949952,0.916,-0.37,0.096
8.0,0.91,-0.366,0.096
8.049856,0.914,-0.37,0.102
8.099904,0.912,-0.372,0.102
8.149952,0.914,-0.37,0.108
8.2,0.914,-0.37,0.092
8.250856,0.902,-0.376,0.104
8.300904,0.908,-0.382,0.094
8.350952,0.91,-0.37,0.108
8.401,0.92,-0.382,0.094
8.450856,0.91,-0.366,0.102
8.500904,0.902,-0.366,0.092
8.550952,0.912,-0.382,0.096
8.601,0.908,-0.376,0.108
8.650856,0.908,-0.37,0.104
8.700904,0.912,-0.378,0.096
8.750952,0.918,-0.378,0.096
8.801,0.912,-0.378,0.112
8.850856,0.904,-0.378,0.102
8.900904,0.91,-0.372,0.102
8.950952,0.916,-0.36,0.096
9.001,0.92,-0.362,0.104
9.050856,0.91,-0.37,0.108
9.100904,0.91,-0.37,0.092
9.150952,0.92,-0.372,0.112
9.201,0.912,-0.37,0.096
9.250856,0.912,-0.372,0.112
9.300904,0.908,-0.37,0.098
9.350952,0.912,-0.378,0.11
9.401,0.902,-0.368,0.092
9.451856,0.912,-0.37,0.108
9.501904,0.914,-0.392,0.106
9.551952,0.896,-0.362,0.104
9.602,0.886,-0.384,0.094
9.651856,0.924,-0.378,0.096
9.701904,0.91,-0.37,0.096
9.751952,0.912,-0.372,0.102
9.802,0.896,-0.376,0.096
9.851856,0.908,-0.376,0.108
9.901904,0.91,-0.378,0.11
9.951952,0.902,-0.36,0.112
10.002,0.902,-0.368,0.096
10.051856,0.912,-0.356,0.104
10.101904,0.91,-0.372,0.112
10.151952,0.918,-0.378,0.106
10.202,0.878,-0.378,0.104
10.251856,0.912,-0.37,0.096
10.301904,0.91,-0.372,0.102
10.351952,0.916,-0.368,0.102
10.402,0.91,-0.378,0.102
10.452856,0.904,-0.366,0.11
10.502904,0.912,-0.376,0.092
10.552952,0.912,-0.382,0.096
10.603,0.92,-0.372,0.112
10.652856,0.91,-0.362,0.096
10.702904,0.914,-0.37,0.096
10.752952,0.918,-0.372,0.1
10.803,0.912,-0.368,0.102
10.852856,0.91,-0.368,0.096
10.902904,0.914,-0.36,0.096
10.952952,0.918,-0.36,0.096
11.003,0.918,-0.362,0.102
11.052856,0.918,-0.356,0.094
11.102904,0.92,-0.362,0.096
11.152952,0.914,-0.37,0.11
11.203,0.902,-0.378,0.11
11.252856,0.912,-0.36,0.102
11.302904,0.92,-0.362,0.102
11.352952,0.914,-0.362,0.102
11.403,0.912,-0.366,0.114
11.453856,0.91,-0.36,0.114
11.503904,0.91,-0.354,0.1
11.553952,0.908,-0.362,0.102
11.604,0.912,-0.37,0.108
11.653856,0.91,-0.348,0.112
11.703904,0.912,-0.366,0.102
11.753952,0.926,-0.37,0.112
11.804,0.93,-0.376,0.108
11.853856,0.924,-0.36,0.102
11.903904,0.91,-0.37,0.104
11.953952,0.914,-0.354,0.11
12.004,0.904,-0.37,0.098
