start,end,name,index
45.93,47.93,a_walk,4
47.93,75.33,p_stand,10
75.33,80.33,a_walk,4
80.33,85.01,p_stand,10
85.01,87.01,t_turn,19
87.01,99.86,p_stand,10
99.86,100.92,t_bend,11
100.92,103.64,p_bent,5
103.64,105.51,t_straighten,18
105.51,109.96,p_stand,10
109.96,112.65,t_stand_kneel,16
112.65,115.99,p_kneel,6
115.99,118.31,t_kneel_stand,12
118.31,122.46,p_stand,10
122.46,124.58,a_walk,4
124.61,126.49,t_stand_sit,17
126.49,129.69,p_sit,8
129.69,132.93,t_sit_lie,14
133.01,151.45,p_lie,7
151.45,154.45,t_lie_sit,13
154.45,157.83,p_sit,8
157.83,159.42,t_sit_stand,15
159.42,167.92,p_stand,10
167.92,170.6,t_stand_sit,17
170.6,173.83,p_sit,8
173.83,175.5,t_sit_stand,15
175.5,179.11,p_stand,10
179.11,180.79,t_stand_sit,17
180.79,184.67,p_sit,8
184.67,186.67,t_sit_stand,15
186.67,190.47,p_stand,10
190.47,192.47,t_stand_sit,17
192.47,196.5,p_sit,8
196.5,199.5,t_sit_lie,14
199.5,216.78,p_lie,7
216.78,219.78,t_lie_sit,13
219.78,223.78,p_sit,8
223.78,225.78,t_sit_stand,15
225.78,234.09,p_stand,10
234.09,235.8,t_bend,11
235.8,238.8,p_bent,5
238.8,240.8,t_straighten,18
240.8,244.8,p_stand,10
244.8,247.0,t_stand_sit,17
247.0,250.0,p_sit,8
250.0,253.0,t_sit_stand,15
253.0,256.04,p_stand,10
256.04,258.04,t_stand_sit,17
258.04,262.04,p_sit,8
262.04,265.04,t_sit_lie,14
265.04,282.04,p_lie,7
282.04,285.04,t_lie_sit,13
285.04,289.04,p_sit,8
289.04,291.04,t_sit_stand,15
291.04,298.04,p_stand,10
298.04,300.04,t_bend,11
300.04,302.04,p_bent,5
302.04,305.04,t_straighten,18
305.04,309.56,p_stand,10
309.56,311.33,t_stand_sit,17
311.33,315.11,p_sit,8
315.11,316.67,t_sit_stand,15
316.67,320.59,p_stand,10
320.59,322.65,t_stand_sit,17
322.65,325.07,p_sit,8
325.07,327.94,t_sit_lie,14
327.94,344.57,p_lie,7
344.57,347.57,t_lie_sit,13
347.57,350.45,p_sit,8
350.45,351.45,t_sit_stand,15
351.45,358.15,p_stand,10
358.15,360.15,t_bend,11
360.15,364.15,p_bent,5
364.15,366.15,t_straighten,18
366.15,369.15,p_stand,10
369.15,372.15,t_stand_sit,17
372.15,376.15,p_sit,8
376.15,378.15,t_sit_stand,15
378.15,381.79,p_stand,10
381.79,383.79,t_stand_sit,17
383.79,387.79,p_sit,8
387.79,390.79,t_sit_lie,14
390.79,406.79,p_lie,7
406.79,409.79,t_lie_sit,13
409.79,412.79,p_sit,8
412.79,414.79,t_sit_stand,15
414.79,420.79,p_stand,10
420.79,423.79,a_walk,4
423.79,425.79,p_stand,10
425.79,432.02,a_walk,4
432.02,434.02,p_stand,10
434.02,437.02,a_walk,4
437.02,440.02,p_stand,10
440.02,444.14,a_walk,4
444.14,447.14,t_turn,19
447.14,454.14,p_stand,10
454.14,456.14,t_turn,19
456.14,458.22,p_stand,10
458.22,462.22,p_stand,10
462.22,464.22,t_turn,19
464.22,467.05,a_walk,4
467.05,469.33,t_bend,11
469.33,473.33,p_bent,5
473.33,475.33,t_straighten,18
475.33,477.33,t_turn,19
477.33,480.33,a_walk,4
480.33,492.33,p_stand,10
492.33,493.33,t_turn,19
493.33,493.7,p_stand,10
493.7,495.7,t_turn,19
495.7,501.7,p_stand,10
501.7,506.7,t_turn,19
506.7,535.8,p_stand,10
535.8,537.8,t_turn,19
537.8,541.8,p_stand,10
541.8,543.8,t_turn,19
543.8,545.8,t_turn,19
545.8,552.8,p_stand,10
552.8,555.8,t_turn,19
555.8,596.8,p_stand,10
596.8,597.8,t_turn,19
597.8,600.8,a_walk,4
600.8,629.8,p_stand,10
629.8,632.8,t_turn,19
632.8,638.8,p_stand,10
638.8,639.8,t_turn,19
639.8,641.8,a_walk,4
641.8,664.8,p_stand,10
664.8,666.31,t_turn,19
666.31,667.31,t_bend,11
667.31,669.31,t_straighten,18
669.31,672.31,t_turn,19
672.31,673.79,a_walk,4
673.79,677.79,p_stand,10
677.79,680.79,a_walk,4
680.79,703.79,p_stand,10
703.79,705.79,t_turn,19
705.79,709.68,a_walk,4
709.68,713.68,p_stand,10
713.68,722.68,a_walk,4
722.68,726.68,p_stand,10
726.68,729.68,t_stand_sit,17
729.68,732.68,p_sit,8
732.68,734.68,t_sit_stand,15
734.68,737.68,a_walk,4
737.68,739.68,p_stand,10
739.68,741.68,a_walk,4
741.68,743.68,t_stand_sit,17
743.68,964.814,p_sit,8
964.814,967.814,t_sit_stand,15
967.814,971.814,p_stand,10
971.814,983.814,a_walk,4
983.814,985.814,p_stand,10
985.814,989.814,a_walk,4
989.814,1082.814,p_stand,10
1082.814,1084.814,t_turn,19
1084.814,1086.814,a_walk,4
1086.814,1093.814,p_bent,5
1093.814,1094.644,t_straighten,18
1094.644,1098.644,t_turn,19
1098.644,1100.644,a_walk,4
1100.644,1104.644,a_ascend,0
1104.644,1106.644,a_walk,4
1106.644,1118.644,a_ascend,0
1118.644,1123.644,a_walk,4
1123.644,1128.644,p_stand,10
1128.644,1130.644,a_walk,4
1130.644,1137.644,p_stand,10
1137.644,1141.644,a_walk,4
1141.644,1147.644,p_stand,10
1147.644,1150.644,t_turn,19
1150.644,1158.644,p_stand,10
1158.644,1160.644,t_turn,19
1178.644,1179.644,t_bend,11
1179.644,1183.644,p_bent,5
1183.644,1185.644,t_straighten,18
1185.644,1190.644,p_stand,10
1190.644,1192.644,t_stand_kneel,16
1192.644,1197.644,p_kneel,6
1197.644,1198.644,t_kneel_stand,12
1198.644,1203.644,p_stand,10
1203.644,1204.644,t_stand_sit,17
1204.644,1207.644,p_sit,8
1207.644,1210.644,t_sit_lie,14
1210.644,1227.644,p_lie,7
1227.644,1230.644,t_lie_sit,13
1230.644,1233.644,p_sit,8
1233.644,1235.644,t_sit_stand,15
1235.644,1241.644,p_stand,10
1241.644,1243.644,t_bend,11
1243.644,1246.644,p_squat,9
1246.644,1248.644,t_straighten,18
1248.644,1250.644,p_stand,10
1250.644,1252.644,t_stand_kneel,16
1252.644,1256.644,p_kneel,6
1256.644,1258.644,t_kneel_stand,12
1258.644,1261.644,p_stand,10
1261.644,1263.644,t_stand_sit,17
