t,x,y,z
0.017856,0.944,-0.28,0.152
0.067904,0.944,-0.292,0.156
0.117952,0.946,-0.286,0.156
0.168,0.942,-0.288,0.16
0.217856,0.946,-0.286,0.158
0.267904,0.936,-0.274,0.142
0.317952,0.944,-0.282,0.144
0.368,0.896,-0.29,0.134
0.417856,0.94,-0.282,0.144
0.467904,0.928,-0.276,0.15
0.517952,0.95,-0.28,0.144
0.568,0.944,-0.27,0.142
0.618856,0.952,-0.278,0.156
0.668904,0.942,-0.272,0.144
0.718952,0.946,-0.282,0.144
0.769,0.944,-0.272,0.148
0.818856,0.934,-0.266,0.13
0.868904,0.946,-0.274,0.14
0.918952,0.92,-0.276,0.136
0.969,0.94,-0.288,0.142
1.018856,0.934,-0.298,0.128
1.068904,0.944,-0.286,0.15
1.118952,0.944,-0.29,0.14
1.169,0.944,-0.286,0.158
1.218856,0.942,-0.292,0.144
1.268904,0.944,-0.274,0.142
1.318952,0.94,-0.282,0.146
1.369,0.912,-0.288,0.136
1.418856,0.94,-0.274,0.152
1.468904,0.944,-0.272,0.14
1.518952,0.944,-0.272,0.142
1.569,0.934,-0.268,0.142
1.619856,0.94,-0.27,0.146
1.669904,0.946,-0.272,0.142
1.719952,0.944,-0.286,0.146
1.77,0.904,-0.288,0.142
1.819856,0.946,-0.28,0.134
1.869904,0.934,-0.282,0.13
1.919952,0.934,-0.288,0.142
1.97,0.946,-0.28,0.15
2.019856,0.93,-0.276,0.142
2.069904,0.942,-0.28,0.14
2.119952,0.944,-0.276,0.128
2.17,0.918,-0.282,0.15
2.219856,0.934,-0.28,0.156
2.269904,0.942,-0.266,0.15
2.319952,0.942,-0.276,0.134
2.37,0.94,-0.276,0.156
2.419856,0.91,-0.286,0.14
2.469904,0.944,-0.28,0.142
2.519952,0.942,-0.282,0.13
2.57,0.95,-0.276,0.14
2.620856,0.95,-0.272,0.15
2.670904,0.952,-0.286,0.158
2.720952,0.948,-0.276,0.152
2.771,0.946,-0.264,0.146
2.820856,0.944,-0.278,0.152
2.870904,0.942,-0.27,0.146
2.920952,0.952,-0.276,0.152
2.971,0.936,-0.27,0.144
3.020856,0.944,-0.278,0.152
3.070904,0.944,-0.27,0.144
3.120952,0.944,-0.274,0.124
3.171,0.944,-0.282,0.142
3.220856,0.944,-0.274,0.152
3.270904,0.942,-0.27,0.146
3.320952,0.944,-0.266,0.15
3.371,0.946,-0.28,0.14
3.420856,0.944,-0.274,0.132
3.470904,0.942,-0.254,0.156
3.520952,0.944,-0.27,0.112
3.571,0.946,-0.266,0.15
3.621856,0.942,-0.272,0.142
3.671904,0.942,-0.266,0.142
3.721952,0.952,-0.272,0.134
3.772,0.942,-0.254,0.142
3.821856,0.946,-0.264,0.144
3.871904,0.954,-0.264,0.14
3.921952,0.926,-0.264,0.13
3.972,0.95,-0.252,0.134
4.021856,0.952,-0.258,0.144
4.071904,0.944,-0.25,0.132
4.121952,0.944,-0.272,0.134
4.172,0.944,-0.272,0.134
4.221856,0.952,-0.264,0.134
4.271904,0.934,-0.266,0.136
4.321952,0.944,-0.154,0.126
4.372,0.952,-0.264,0.142
4.421856,0.952,-0.266,0.142
4.471904,0.902,-0.282,0.128
4.521952,0.94,-0.27,0.126
4.572,0.946,-0.264,0.126
4.621856,0.936,-0.266,0.142
4.671904,0.946,-0.262,0.114
4.721952,0.936,-0.276,0.136
4.772,0.952,-0.272,0.126
4.822856,0.952,-0.272,0.114
4.872904,0.946,-0.272,0.128
4.922952,0.928,-0.254,0.128
4.973,0.946,-0.25,0.098
5.022856,0.952,-0.254,0.094
5.072904,0.944,-0.234,0.086
5.122952,0.956,-0.226,0.088
5.173,0.94,-0.218,0.102
5.222856,0.956,-0.224,0.062
5.272904,0.95,-0.242,0.064
5.322952,0.936,-0.226,0.06
5.373,0.93,-0.202,0.06
5.422856,0.946,-0.238,0.04
5.472904,0.978,-0.232,0.024
5.522952,0.998,-0.2,0.014
5.573,0.97,-0.192,0.028
5.622856,0.952,-0.216,0.006
5.672904,0.934,-0.248,-0.034
5.722952,0.998,-0.27,-0.04
5.773,0.99,-0.226,-0.058
5.823856,0.982,-0.19,-0.042
5.873904,0.962,-0.196,0.024
5.923952,0.966,-0.208,0.038
6.023856,0.952,-0.292,-0.008
6.073904,0.934,-0.25,-0.02
6.123952,0.926,-0.224,-0.05
6.174,0.934,-0.242,-0.072
6.223856,0.93,-0.232,-0.104
6.273904,0.964,-0.208,-0.116
6.323952,1.01,-0.164,-0.116
6.374,1.014,-0.042,-0.04
6.423856,0.99,0.032,-0.024
6.473904,0.964,0.034,-0.01
6.523952,0.966,-0.024,-0.034
6.574,1.02,-0.106,-0.04
6.623856,0.976,-0.144,0.03
6.673904,0.924,-0.166,0.14
6.723952,0.91,-0.218,0.182
6.774,1.008,-0.258,0.2
6.824856,1.0,-0.25,0.194
6.874904,0.914,-0.33,0.144
6.924952,0.928,-0.362,0.12
6.975,0.934,-0.336,0.098
7.024856,0.894,-0.34,0.126
7.074904,0.912,-0.32,0.192
7.124952,0.918,-0.328,0.216
7.175,1.12,-0.362,0.126
7.224856,0.94,-0.324,0.048
7.274904,0.896,-0.272,0.158
7.324952,0.902,-0.256,0.08
7.375,0.95,-0.336,-0.014
7.424856,0.944,-0.334,0.014
7.474904,0.94,-0.232,0.096
7.524952,0.928,-0.216,0.084
7.575,0.948,-0.308,0.032
7.624856,0.948,-0.25,0.006
7.674904,0.93,-0.2,0.032
7.724952,1.006,-0.218,0.016
7.775,0.988,-0.222,0.03
7.825856,0.958,-0.184,0.074
7.875904,0.968,-0.09,0.07
7.925952,0.974,-0.132,0.024
7.976,0.96,-0.226,0.048
8.025856,0.962,-0.21,0.062
8.075904,0.978,-0.234,0.056
8.125952,0.976,-0.22,0.062
8.176,0.962,-0.194,0.054
8.225856,0.958,-0.208,0.044
8.275904,0.972,-0.194,0.056
8.325952,0.988,-0.212,0.07
8.376,0.978,-0.23,0.07
8.425856,0.952,-0.19,0.038
8.475904,0.98,-0.138,0.052
8.525952,0.966,-0.136,0.038
8.576,0.944,-0.168,0.044
8.625856,0.966,-0.222,0.044
8.675904,0.956,-0.264,0.048
8.725952,0.95,-0.28,0.062
8.776,0.926,-0.302,0.062
8.826856,0.92,-0.336,0.078
8.876904,0.92,-0.354,0.094
8.926952,0.92,-0.376,0.112
8.977,0.926,-0.378,0.108
9.026856,0.934,-0.334,0.096
9.076904,0.936,-0.318,0.096
9.126952,0.91,-0.298,0.088
9.177,0.944,-0.272,0.102
9.226856,0.946,-0.274,0.096
9.276904,0.956,-0.27,0.088
9.326952,0.946,-0.264,0.078
9.377,0.956,-0.258,0.078
9.426856,0.962,-0.242,0.088
9.476904,0.96,-0.24,0.102
9.526952,0.928,-0.242,0.066
9.577,0.952,-0.226,0.086
9.626856,0.96,-0.218,0.094
9.676904,0.944,-0.232,0.088
9.726952,0.934,-0.258,0.102
9.777,0.918,-0.282,0.092
9.826856,0.954,-0.264,0.098
9.876904,0.944,-0.244,0.096
9.926952,0.956,-0.232,0.086
9.977,0.948,-0.256,0.096
10.027856,0.968,-0.264,0.098
10.077904,0.94,-0.25,0.088
10.127952,0.944,-0.264,0.082
10.178,0.94,-0.25,0.092
10.227856,0.962,-0.24,0.07
10.277904,0.952,-0.254,0.092
10.327952,0.924,-0.258,0.07
10.378,0.95,-0.25,0.088
10.427856,0.944,-0.272,0.094
10.477904,0.946,-0.258,0.078
10.527952,0.966,-0.282,0.086
10.578,0.95,-0.288,0.102
10.627856,0.91,-0.286,0.096
10.677904,0.944,-0.25,0.062
10.727952,0.966,-0.238,0.062
10.778,0.952,-0.226,0.06
10.827856,0.952,-0.222,0.048
10.877904,0.96,-0.218,0.044
10.927952,0.958,-0.218,0.032
10.978,0.952,-0.194,0.044
11.028856,0.958,-0.218,0.034
11.078904,0.974,-0.206,0.03
11.128952,0.968,-0.196,0.02
11.179,0.962,-0.226,0.038
11.228856,0.944,-0.212,0.032
11.278904,0.944,-0.218,0.046
11.328952,0.952,-0.232,0.028
11.379,0.942,-0.234,0.008
11.428856,0.958,-0.254,0.034
11.478904,0.966,-0.264,0.028
11.528952,0.966,-0.27,0.044
11.579,0.944,-0.282,0.044
11.628856,0.936,-0.272,0.056
11.678904,0.966,-0.25,0.018
11.728952,0.96,-0.26,0.044
11.779,0.954,-0.256,0.048
11.828856,0.942,-0.282,0.062
11.878904,0.958,-0.286,0.056
11.928952,0.928,-0.276,0.048
11.979,0.944,-0.27,0.062
12.029856,0.968,-0.242,0.078
12.079904,0.95,-0.238,0.062
12.129952,0.95,-0.25,0.062
12.18,0.952,-0.244,0.07
12.229856,0.944,-0.266,0.07
12.279904,0.942,-0.282,0.066
12.329952,0.948,-0.282,0.062
12.38,0.92,-0.282,0.06
12.429856,0.914,-0.27,0.048
12.479904,0.92,-0.282,0.048
12.529952,0.936,-0.282,0.02
12.58,0.956,-0.282,0.022
12.629856,0.974,-0.292,0.008
12.679904,0.952,-0.302,0.048
12.729952,0.952,-0.328,0.066
12.78,0.934,-0.33,0.056
12.829856,0.928,-0.296,0.05
12.879904,0.96,-0.272,0.024
12.929952,0.966,-0.238,0.002
12.98,0.966,-0.192,0.012
13.030856,0.926,-0.194,0.038
13.080904,0.946,-0.206,0.018
13.130952,0.976,-0.232,0.028
13.181,0.944,-0.286,0.048
13.230856,0.95,-0.296,0.048
13.280904,0.952,-0.28,0.054
13.330952,0.926,-0.288,0.044
13.381,1.042,-0.322,0.022
13.430856,1.076,-0.296,-0.014
13.480904,1.048,-0.28,0.048
13.530952,0.866,-0.178,0.104
13.581,0.88,-0.036,0.028
13.630856,0.984,0.136,-0.064
13.680904,0.994,0.056,-0.034
13.730952,1.08,0.012,0.086
13.781,0.984,-0.104,0.102
13.830856,0.926,-0.274,0.11
13.880904,0.864,-0.296,0.078
13.930952,0.834,-0.338,0.038
